OID,RouteId,BeginPoint,EndPoint,LANE_WIDTHVn,LANE_WIDTHVt,LANE_WIDTHVd,LANE_WIDTHComments,Shape_Length
-1,1013200026700INC,2.215400000000000,2.548800000000000,10.000000000000000,,,GA0138074-01,0.005316659307252
-1,1051200115407INC,2.607000000000000,2.826800000000000,10.000000000000000,,,GA0510463-01,0.003252674854294
-1,1000100040100INC,61.771599999999999,62.317300000000003,12.000000000000000,,,GA2770243-01,0.007924673052429
-1,1179200071305INC,0.000000000000000,0.171400000000000,10.000000000000000,,,GA1790176-01,0.002899770478854
-1,1023200063801INC,0.271200000000000,0.977300000000000,10.000000000000000,,,GA0230305-01,0.011178405098252
-1,1000100015000INC,4.415100000000000,4.611700000000000,12.000000000000000,,,GA1890098-01,0.003188273951451
-1,1000100001900INC,18.515499999999999,18.910100000000000,12.000000000000000,,,GA1610163-01,0.006343686143329
-1,1000100009000INC,34.362200000000001,36.173499999999997,12.000000000000000,,,GA0170136-01,0.026535647620105
-1,1000100000700INC,147.838999999999999,147.903199999999998,12.000000000000000,,,GA1530017-01,0.001092702755666
-1,1115200145409INC,2.227900000000000,3.887100000000000,10.000000000000000,,,GA1150499-01,0.024901249086885
-1,1089100041000INC,1.014200000000000,1.104100000000000,12.000000000000000,,,GA0893383-01,0.001493729216231
-1,1000100003800INC,35.814100000000003,37.244700000000002,12.000000000000000,,,GA0870156-01,0.023921946339017
-1,10511000404SPINC,1.426100000000000,2.417900000000000,12.000000000000000,,,GA0510167-01,0.015258786406752
-1,1000100021100INC,2.649700000000000,3.748100000000000,12.000000000000000,,,GA0130125-01,0.016102650471737
-1,1139200090100INC,0.000000000000000,0.157600000000000,10.000000000000000,,,GA1397385-01,0.002448657383077
-1,10151000293COINC,0.000000000000000,0.392300000000000,11.000000000000000,,,GA0150218-01,0.005812421850652
-1,1000100010400INC,5.906600000000000,5.934700000000000,12.000000000000000,,,GA2450931-02,0.000472927524422
-1,1215200137900INC,0.318300000000000,0.388000000000000,10.000000000000000,,,GA2150714-01,0.001057003216927
-1,1103200030705INC,0.129700000000000,0.818700000000000,10.000000000000000,,,GA1030217-01,0.011474843308371
-1,1000100002000INC,135.371600000000001,136.045800000000014,12.000000000000000,,,GA2470123-01,0.010688789726614
-1,1075200024800INC,0.000000000000000,1.979600000000000,10.000000000000000,,,GA0750216-01,0.028971718299743
-1,1000100003500INC,61.870899999999999,62.692000000000000,12.000000000000000,,,GA0710032-01,0.013223706389572
-1,1000100007400INC,99.017600000000002,99.459100000000007,12.000000000000000,,,GA0210185-02,0.007215572926229
-1,1059200060000INC,2.238000000000000,2.367500000000000,10.000000000000000,,,GA0590152-01,0.001988375150163
-1,1187200060501INC,0.000000000000000,0.204800000000000,10.000000000000000,,,GA1870012-01,0.003347120209210
-1,1000100001000INC,152.561599999999999,153.500200000000007,12.000000000000000,,,GA2450045-01,0.016238109012531
-1,1121200635703INC,0.000000000000000,0.654400000000000,10.000000000000000,,,GA1216026-01,0.009681864568748
-1,1000100000200INC,0.000000000000000,1.343700000000000,12.000000000000000,,,GA2950050-01,0.023173491025284
-1,1009200067003INC,0.264600000000000,0.274400000000000,10.000000000000000,,,GA0090352-01,0.000167259160338
