OID,RouteId,BeginPoint,EndPoint,MEDIAN_WIDTHVn,MEDIAN_WIDTHVt,MEDIAN_WIDTHVd,MEDIAN_WIDTHComments,Shape_Length
-1,1000100000100INC,290.979600000000005,291.052000000000021,99.000000000000000,,,GA1150025-01,0.001075577217670
-1,1000100042200INC,14.629600000000000,14.768300000000000,40.000000000000000,,,GA0590014-01,0.002281610590748
-1,1000100000600INC,71.913399999999996,71.924800000000005,15.000000000000000,,,GA1215193-02,0.000192725341504
-1,1000100041300INC,0.912800000000000,0.930200000000000,90.000000000000000,,,GA1510446-01,0.000252995500651
-1,1000100040500INC,22.977200000000000,25.580900000000000,99.000000000000000,,,GA0390228-01,0.040442046535803
-1,1000100001600INC,77.762000000000000,77.762299999999996,40.000000000000000,,,GA2550371-01,0.000005030634665
-1,1000100003100INC,143.887599999999992,143.982300000000009,10.000000000000000,,,GA1750112-01,0.001392133542332
-1,1000100036900INC,35.584600000000002,35.633299999999998,19.000000000000000,,,GA1390420-01,0.000841108214276
-1,1000100002500INC,113.444199999999995,113.710899999999995,15.000000000000000,,,GA0510198-01,0.004115975421434
-1,1051200078700INC,0.485600000000000,0.514900000000000,23.000000000000000,,,GA0510434-01,0.000494555356192
-1,1000100009200INC,85.292800000000000,85.333299999999994,40.000000000000000,,,GA0570074-01,0.000705813116896
-1,1000100012400INC,16.040299999999998,16.109999999999999,4.000000000000000,,,GA1350189-01,0.001026450974496
-1,1000100000300INC,260.891099999999994,261.064200000000028,30.000000000000000,,,GA0670013-01,0.002772665538477
-1,1000100040700INC,34.296599999999998,34.305700000000002,4.000000000000000,,,GA0893363-01,0.000132084854583
-1,1000100001100INC,175.957500000000010,176.145499999999998,20.000000000000000,,,GA0210012-01,0.002729871264702
-1,1000100007400INC,4.147100000000000,4.156900000000000,40.000000000000000,,,GA1130131-01,0.000144898995065
-1,1000100040400INC,93.070999999999998,93.320200000000000,60.000000000000000,,,GA1070212-01,0.004252562563102
-1,1000100019600INC,37.872599999999998,37.890700000000002,30.000000000000000,,,GA1790129-01,0.000304581379745
-1,1000100002500INC,44.501800000000003,44.541899999999998,14.000000000000000,,,GA1270114-01,0.000598982899627
-1,1000100005200INC,8.223300000000000,8.231999999999999,25.000000000000000,,,GA3130204-01,0.000152824217706
-1,1000100040300INC,16.295500000000001,16.315999999999999,60.000000000000000,,,GA2850234-01,0.000313664991693
-1,1000100040100INC,168.932700000000011,168.973600000000005,14.000000000000000,,,GA0210356-01,0.000632966307723
